goal,dimension,region_id,score,year
MAR,trend,4,-0.01,2012
MAR,trend,5,-0.01,2012
MAR,trend,6,-0.01,2012
MAR,trend,7,-0.01,2012
MAR,trend,8,-0.01,2012
MAR,trend,9,-0.01,2012
NP,future,0,30.45,2012
NP,future,1,30.45,2012
NP,future,2,30.45,2012
NP,future,3,30.45,2012
NP,future,4,30.45,2012
NP,future,5,30.45,2012
NP,future,6,30.45,2012
NP,future,7,30.45,2012
NP,future,8,30.45,2012
NP,future,9,30.45,2012
NP,pressures,1,17.09,2012
NP,pressures,2,17.09,2012
NP,pressures,3,17.09,2012
NP,pressures,4,17.09,2012
NP,pressures,5,17.09,2012
NP,pressures,6,17.09,2012
NP,pressures,7,17.09,2012
NP,pressures,8,17.09,2012
NP,pressures,9,17.09,2012
NP,resilience,1,73.34,2012
NP,resilience,2,73.34,2012
NP,resilience,3,73.34,2012
NP,resilience,4,73.34,2012
NP,resilience,5,73.34,2012
NP,resilience,6,73.34,2012
NP,resilience,7,73.34,2012
NP,resilience,8,73.34,2012
NP,resilience,9,73.34,2012
NP,score,0,28.88,2012
NP,score,1,28.88,2012
NP,score,2,28.88,2012
NP,score,3,28.88,2012
NP,score,4,28.88,2012
NP,score,5,28.88,2012
NP,score,6,28.88,2012
NP,score,7,28.88,2012
NP,score,8,28.88,2012
NP,score,9,28.88,2012
NP,status,0,27.31,2012
NP,status,1,27.31,2012
NP,status,2,27.31,2012
NP,status,3,27.31,2012
NP,status,4,27.31,2012
NP,status,5,27.31,2012
NP,status,6,27.31,2012
NP,status,7,27.31,2012
NP,status,8,27.31,2012
NP,status,9,27.31,2012
NP,trend,1,-0.11,2012
NP,trend,2,-0.11,2012
NP,trend,3,-0.11,2012
NP,trend,4,-0.11,2012
NP,trend,5,-0.11,2012
NP,trend,6,-0.11,2012
NP,trend,7,-0.11,2012
NP,trend,8,-0.11,2012
NP,trend,9,-0.11,2012
SP,future,0,77.48,2012
SP,future,1,77.48,2012
SP,future,2,77.48,2012
SP,future,3,77.48,2012
SP,future,4,77.48,2012
SP,future,5,77.48,2012
SP,future,6,77.48,2012
SP,future,7,77.48,2012
SP,future,8,77.48,2012
SP,future,9,77.48,2012
SP,pressures,1,,2012
SP,pressures,2,,2012
SP,pressures,3,,2012
SP,pressures,4,,2012
SP,pressures,5,,2012
SP,pressures,6,,2012
SP,pressures,7,,2012
SP,pressures,8,,2012
SP,pressures,9,,2012
SP,resilience,1,,2012
SP,resilience,2,,2012
SP,resilience,3,,2012
SP,resilience,4,,2012
SP,resilience,5,,2012
SP,resilience,6,,2012
SP,resilience,7,,2012
SP,resilience,8,,2012
SP,resilience,9,,2012
SP,score,0,73.11,2012
SP,score,1,73.11,2012
SP,score,2,73.11,2012
SP,score,3,73.11,2012
SP,score,4,73.11,2012
SP,score,5,73.11,2012
SP,score,6,73.11,2012
SP,score,7,73.11,2012
SP,score,8,73.11,2012
SP,score,9,73.11,2012
SP,status,0,68.74,2012
SP,status,1,68.74,2012
SP,status,2,68.74,2012
SP,status,3,68.74,2012
SP,status,4,68.74,2012
SP,status,5,68.74,2012
SP,status,6,68.74,2012
SP,status,7,68.74,2012
SP,status,8,68.74,2012
SP,status,9,68.74,2012
SP,trend,1,0.05,2012
SP,trend,2,0.05,2012
SP,trend,3,0.05,2012
SP,trend,4,0.05,2012
SP,trend,5,0.05,2012
SP,trend,6,0.05,2012
SP,trend,7,0.05,2012
SP,trend,8,0.05,2012
SP,trend,9,0.05,2012
SPP,future,0,91.86,2012
SPP,future,1,91.86,2012
SPP,future,2,91.86,2012
SPP,future,3,91.86,2012
SPP,future,4,91.86,2012
